"Feature","Missing_Rate","Domain"
"ST104TA",1,"Neuroimaging"
"ST104TS",1,"Neuroimaging"
"ST105CV",1,"Neuroimaging"
"ST105SA",1,"Neuroimaging"
"ST105TA",1,"Neuroimaging"
"ST105TS",1,"Neuroimaging"
"ST106CV",1,"Neuroimaging"
"ST106SA",1,"Neuroimaging"
"ST106TA",1,"Neuroimaging"
"ST106TS",1,"Neuroimaging"
"ST107CV",1,"Neuroimaging"
"ST107SA",1,"Neuroimaging"
"ST107TA",1,"Neuroimaging"
"ST107TS",1,"Neuroimaging"
"ST108CV",1,"Neuroimaging"
"ST108SA",1,"Neuroimaging"
"ST108TA",1,"Neuroimaging"
"ST108TS",1,"Neuroimaging"
"ST109CV",1,"Neuroimaging"
"ST109SA",1,"Neuroimaging"
"ST109TA",1,"Neuroimaging"
"ST109TS",1,"Neuroimaging"
"ST10CV",1,"Neuroimaging"
"ST110CV",1,"Neuroimaging"
"ST110SA",1,"Neuroimaging"
"ST110TA",1,"Neuroimaging"
"ST110TS",1,"Neuroimaging"
"ST111CV",1,"Neuroimaging"
"ST111SA",1,"Neuroimaging"
"ST111TA",1,"Neuroimaging"
"ST111TS",1,"Neuroimaging"
"ST112SV",1,"Neuroimaging"
"ST113CV",1,"Neuroimaging"
"ST113SA",1,"Neuroimaging"
"ST113TA",1,"Neuroimaging"
"ST113TS",1,"Neuroimaging"
"ST114CV",1,"Neuroimaging"
"ST114SA",1,"Neuroimaging"
"ST114TA",1,"Neuroimaging"
"ST114TS",1,"Neuroimaging"
"ST115CV",1,"Neuroimaging"
"ST115SA",1,"Neuroimaging"
"ST115TA",1,"Neuroimaging"
"ST115TS",1,"Neuroimaging"
"ST116CV",1,"Neuroimaging"
"ST116SA",1,"Neuroimaging"
"ST116TA",1,"Neuroimaging"
"ST116TS",1,"Neuroimaging"
"ST117CV",1,"Neuroimaging"
"ST117SA",1,"Neuroimaging"
"ST117TA",1,"Neuroimaging"
"ST117TS",1,"Neuroimaging"
"ST118CV",1,"Neuroimaging"
"ST118SA",1,"Neuroimaging"
"ST118TA",1,"Neuroimaging"
"ST118TS",1,"Neuroimaging"
"ST119CV",1,"Neuroimaging"
"ST119SA",1,"Neuroimaging"
"ST119TA",1,"Neuroimaging"
"ST119TS",1,"Neuroimaging"
"ST11SV",1,"Neuroimaging"
"ST120SV",1,"Neuroimaging"
"ST121CV",1,"Neuroimaging"
"ST121SA",1,"Neuroimaging"
"ST121TA",1,"Neuroimaging"
"ST121TS",1,"Neuroimaging"
"ST124SV",1,"Neuroimaging"
"ST125SV",1,"Neuroimaging"
"ST127SV",1,"Neuroimaging"
"ST128SV",1,"Neuroimaging"
"ST129CV",1,"Neuroimaging"
"ST129SA",1,"Neuroimaging"
"ST129TA",1,"Neuroimaging"
"ST129TS",1,"Neuroimaging"
"ST12SV",1,"Neuroimaging"
"ST130CV",1,"Neuroimaging"
"ST130SA",1,"Neuroimaging"
"ST130TA",1,"Neuroimaging"
"ST130TS",1,"Neuroimaging"
"ST13CV",1,"Neuroimaging"
"ST13SA",1,"Neuroimaging"
"ST13TA",1,"Neuroimaging"
"ST13TS",1,"Neuroimaging"
"ST14CV",1,"Neuroimaging"
"ST14SA",1,"Neuroimaging"
"ST14TA",1,"Neuroimaging"
"ST14TS",1,"Neuroimaging"
"ST15CV",1,"Neuroimaging"
"ST15SA",1,"Neuroimaging"
"ST15TA",1,"Neuroimaging"
"ST15TS",1,"Neuroimaging"
"ST16SV",1,"Neuroimaging"
"ST17SV",1,"Neuroimaging"
"ST18SV",1,"Neuroimaging"
"ST1SV",1,"Neuroimaging"
"ST21SV",1,"Neuroimaging"
"ST23CV",1,"Neuroimaging"
"ST23SA",1,"Neuroimaging"
"ST23TA",1,"Neuroimaging"
"ST23TS",1,"Neuroimaging"
"ST24CV",1,"Neuroimaging"
"ST24SA",1,"Neuroimaging"
"ST24TA",1,"Neuroimaging"
"ST24TS",1,"Neuroimaging"
"ST25CV",1,"Neuroimaging"
"ST25SA",1,"Neuroimaging"
"ST25TA",1,"Neuroimaging"
"ST25TS",1,"Neuroimaging"
"ST26CV",1,"Neuroimaging"
"ST26SA",1,"Neuroimaging"
"ST26TA",1,"Neuroimaging"
"ST26TS",1,"Neuroimaging"
"ST28SA",1,"Neuroimaging"
"ST29SV",1,"Neuroimaging"
"ST2SV",1,"Neuroimaging"
"ST30SV",1,"Neuroimaging"
"ST31CV",1,"Neuroimaging"
"ST31SA",1,"Neuroimaging"
"ST31TA",1,"Neuroimaging"
"ST31TS",1,"Neuroimaging"
"ST32CV",1,"Neuroimaging"
"ST32SA",1,"Neuroimaging"
"ST32TA",1,"Neuroimaging"
"ST32TS",1,"Neuroimaging"
"ST34CV",1,"Neuroimaging"
"ST34SA",1,"Neuroimaging"
"ST34TA",1,"Neuroimaging"
"ST34TS",1,"Neuroimaging"
"ST35CV",1,"Neuroimaging"
"ST35SA",1,"Neuroimaging"
"ST35TA",1,"Neuroimaging"
"ST35TS",1,"Neuroimaging"
"ST36CV",1,"Neuroimaging"
"ST36SA",1,"Neuroimaging"
"ST36TA",1,"Neuroimaging"
"ST36TS",1,"Neuroimaging"
"ST37SV",1,"Neuroimaging"
"ST38CV",1,"Neuroimaging"
"ST38SA",1,"Neuroimaging"
"ST38TA",1,"Neuroimaging"
"ST38TS",1,"Neuroimaging"
"ST39CV",1,"Neuroimaging"
"ST39SA",1,"Neuroimaging"
"ST39TA",1,"Neuroimaging"
"ST39TS",1,"Neuroimaging"
"ST3SV",1,"Neuroimaging"
"ST40CV",1,"Neuroimaging"
"ST40SA",1,"Neuroimaging"
"ST40TA",1,"Neuroimaging"
"ST40TS",1,"Neuroimaging"
"ST42SV",1,"Neuroimaging"
"ST43CV",1,"Neuroimaging"
"ST43SA",1,"Neuroimaging"
"ST43TA",1,"Neuroimaging"
"ST43TS",1,"Neuroimaging"
"ST44CV",1,"Neuroimaging"
"ST44SA",1,"Neuroimaging"
"ST44TA",1,"Neuroimaging"
"ST44TS",1,"Neuroimaging"
"ST45CV",1,"Neuroimaging"
"ST45SA",1,"Neuroimaging"
"ST45TA",1,"Neuroimaging"
"ST45TS",1,"Neuroimaging"
"ST46CV",1,"Neuroimaging"
"ST46SA",1,"Neuroimaging"
"ST46TA",1,"Neuroimaging"
"ST46TS",1,"Neuroimaging"
"ST47CV",1,"Neuroimaging"
"ST47SA",1,"Neuroimaging"
"ST47TA",1,"Neuroimaging"
"ST47TS",1,"Neuroimaging"
"ST48CV",1,"Neuroimaging"
"ST48SA",1,"Neuroimaging"
"ST48TA",1,"Neuroimaging"
"ST48TS",1,"Neuroimaging"
"ST49CV",1,"Neuroimaging"
"ST49SA",1,"Neuroimaging"
"ST49TA",1,"Neuroimaging"
"ST49TS",1,"Neuroimaging"
"ST4SV",1,"Neuroimaging"
"ST50CV",1,"Neuroimaging"
"ST50SA",1,"Neuroimaging"
"ST50TA",1,"Neuroimaging"
"ST50TS",1,"Neuroimaging"
"ST51CV",1,"Neuroimaging"
"ST51SA",1,"Neuroimaging"
"ST51TA",1,"Neuroimaging"
"ST51TS",1,"Neuroimaging"
"ST52CV",1,"Neuroimaging"
"ST52SA",1,"Neuroimaging"
"ST52TA",1,"Neuroimaging"
"ST52TS",1,"Neuroimaging"
"ST53SV",1,"Neuroimaging"
"ST54CV",1,"Neuroimaging"
"ST54SA",1,"Neuroimaging"
"ST54TA",1,"Neuroimaging"
"ST54TS",1,"Neuroimaging"
"ST55CV",1,"Neuroimaging"
"ST55SA",1,"Neuroimaging"
"ST55TA",1,"Neuroimaging"
"ST55TS",1,"Neuroimaging"
"ST56CV",1,"Neuroimaging"
"ST56SA",1,"Neuroimaging"
"ST56TA",1,"Neuroimaging"
"ST56TS",1,"Neuroimaging"
"ST57CV",1,"Neuroimaging"
"ST57SA",1,"Neuroimaging"
"ST57TA",1,"Neuroimaging"
"ST57TS",1,"Neuroimaging"
"ST58CV",1,"Neuroimaging"
"ST58SA",1,"Neuroimaging"
"ST58TA",1,"Neuroimaging"
"ST58TS",1,"Neuroimaging"
"ST59CV",1,"Neuroimaging"
"ST59SA",1,"Neuroimaging"
"ST59TA",1,"Neuroimaging"
"ST59TS",1,"Neuroimaging"
"ST5SV",1,"Neuroimaging"
"ST60CV",1,"Neuroimaging"
"ST60SA",1,"Neuroimaging"
"ST60TA",1,"Neuroimaging"
"ST60TS",1,"Neuroimaging"
"ST61SV",1,"Neuroimaging"
"ST62CV",1,"Neuroimaging"
"ST62SA",1,"Neuroimaging"
"ST62TA",1,"Neuroimaging"
"ST62TS",1,"Neuroimaging"
"ST65SV",1,"Neuroimaging"
"ST66SV",1,"Neuroimaging"
"ST68SV",1,"Neuroimaging"
"ST69SV",1,"Neuroimaging"
"ST6SV",1,"Neuroimaging"
"ST70SV",1,"Neuroimaging"
"ST71SV",1,"Neuroimaging"
"ST72CV",1,"Neuroimaging"
"ST72SA",1,"Neuroimaging"
"ST72TA",1,"Neuroimaging"
"ST72TS",1,"Neuroimaging"
"ST73CV",1,"Neuroimaging"
"ST73SA",1,"Neuroimaging"
"ST73TA",1,"Neuroimaging"
"ST73TS",1,"Neuroimaging"
"ST74CV",1,"Neuroimaging"
"ST74SA",1,"Neuroimaging"
"ST74TA",1,"Neuroimaging"
"ST74TS",1,"Neuroimaging"
"ST75SV",1,"Neuroimaging"
"ST76SV",1,"Neuroimaging"
"ST77SV",1,"Neuroimaging"
"ST7SV",1,"Neuroimaging"
"ST80SV",1,"Neuroimaging"
"ST82CV",1,"Neuroimaging"
"ST82SA",1,"Neuroimaging"
"ST82TA",1,"Neuroimaging"
